Review ,trip type ,service,location,rooms
Today we visited to celebrate birthday of my sister. Food was good but service was too much worst.,family,1,3,
While serving the main course we had to wait 15 min for each round to serve Indian bread(roti) quality of roti was also not upto mark even dhaba roti quality also better than this.,,,,
When we ordered rice and dal he took 24 min. Approx. To serve. The staff ruined the happiness of our celebration. Food Taste is also SO SO. Road side dhaba/hotels having better taste. The Sayaji brand (terque restaurant) we didn't found upto mark w.r.t 5 star hotel.,,,,
"Disappointed with their service this time. After almost three 3 years visited the place to attend a marriage function. Service guys appear to have taken their guests for granted. With bride n groom sides busy elsewhere, service guys were taking it easy. Refills came only after repeated reminders. And supervisor missing from the spot! One reason I feel was some of servicing guys appear to have not been the trained regulars but brought in to meet emergent requirement. The place with its location, infrastructure, parking, good restaurant food and professional front desk has been a go to place, nonetheless. Please take care, you guys at Sayaji. You have reputation to uphold friends.",,3,5,
We had a family marriage in Sayaji on this 26th evening and the experience was extremely horrible.,family,1,4,
"Hospitality is poor and the management staff are unprofessional. Also the food taste was below average, i wish I could have an option to rate negative.",,,,
"Air Condition was not working leaving us sweating during the whole wedding. We informed the management staff multiple times, but no action was taken.",,,,
Staff behavior and service doesn't match the level of a 5 star hotel at all and it's even below than a normal hotel instead.,,,,
"You better go with another 5 star hotels available around Balewadi as this hotel is not at all recommended for organising family functions like marriage, engagement etc.",,,,
Location is spot on for transit stays.,,1,4,3
The room was clean and comfortable.,,,,
"The staff was spaced out, did not follow instructions and delayed our departure because of missed items we had asked for and confirmed to be packed the previous night itself.",,,,
I was here for a short stay with my family. I must say it was a pleasant and comfortable stay. We booked 2 twin bed rooms with city view (facing the Mumbai-Pune highway) The rooms were clean and nice.,holiday,5,5,5
"The service was prompt and the staff very helpful. The food was too good. If you happen to visit Pune and want a comfortable place to stay not too far from the city center, then this is the hotel for you.",,,,
Highly recommended!,,,,
"I had a great time there to be honest, as it seems most of the reviews done by others are about food quality, rooms, service etc. So I'll skip that part tell you something other than that. There are several events hosted by the hotel and I happen to be at one of such events. Even I was able to look at the once in a life time phenomenon where we can see the undiscovered phase of Saturn. Which happens once in every 78 something years",,4,5,4

this hotel food is very good nd tasty  

food is not good and also environment is also not good.  
food is not good and also environment is also not good.  
food is not good   
food is not delicious  
"Very Good experience, Very good staff and specially Mr Devendar , he Provide us very beautiful view room and all the other Facilities. But the Menu for Breakfast Buffet was not that Good as expected they should add more items in it . but overall experience was good ."
"This is a modern boutique hotel in the middle of Shimla. A brilliant hotel in a great location in the town. I was recovering from having been very ill and three nights here provided the perfect setting for recuperation. The room was excellent with all modern facilities, the staff brilliant and the service outstanding. The food was wonderful too. If you are looking for a modern hotel we highly recommend it."
"Very Friendly and smiling staff. Specifically thank to Mr.sunil dolta for special take care me and my frnds..food was amazing 👏 we will visit again 😊 and suggest to Peeples to come here and enjoy the food again Special thanks to Mr.sunil They were always there in the restaurant to help us out with the food items"
"Stay was comfortable and the superior room was decent in size with a balcony. The view from the balcony was scenic and we could feel the nature and peace throughout our stay. The breakfast buffet was tasty with good quality and hygiene. The staff was friendly and helpful."
"We came to Shimla for a Wedding of some friends but also to do some sightseeing. The hotel was very convenient as it is very close to the right spots in the Mall road and other attractions. We could walk to a lot of places and this for Shimla is very important. The hotel's staff was always ready to help and service levels were outstanding. Also, the food at the hotel is very good."
"Good , in terms of food it’s excellent , rooms are good and modern. Location is excellent and staff is also very good . The hotel earns a yes yes recommendation for future stay and would not be a compromise at any levels or points. Good for family stay as well"
"We have a very good experience and staff is very gentle and good especially in food court mr mohit thakur has a very good services and very good behavior at dinner. food is very very tasty and i love the deserts"
"This was osm time spent over here at marina in shimla we came out to spend the good time and choosing this place was truly a good decesion we enjoy a lot special thanx goes to mr sunil dolta he is superb courtious and too helpfu"



Definitely worth a visit '' 'Mutton Thali restaurant - you will love the taste but please dont go here expecting a wonderful ambience  
this place is very good in kolhapur. it was an amazing place in kolhapur. nice to stay here. best for visisting.  
this hotel food is very good nd tasty  
